id,title,rank,start_date,studio,mean,popularity,num_list_users,num_scoring_users,genres
16434,Penguin's Memory: Shiawase Monogatari,4052,1985-06-22,Animation Staff Room,7.05,8382,5081,1711,
2109,Rockman.EXE Stream,4053,2004-10-02,Xebec,7.05,6330,10123,3960,
1124,Seikai no Danshou: Tanjou,4054,2000-08-25,Sunrise,7.05,6679,8875,4187,
929,Seisenshi Dunbine,4055,1983-02-05,Sunrise,7.05,5662,13416,2629,
5220,Shangri-La,4056,2009-04-06,Gonzo,7.05,2756,62440,20076,
27441,Show By Rock!!,4058,2015-04-05,Bones,7.05,2271,86316,27781,
6098,Sora no Manimani,4058,2009-07-07,Studio Comet,7.05,3347,43549,17405,
2011,Taiho Shichau zo Special,4059,1999-03-30,Studio Deen,7.05,7232,7305,2578,
605,Tenshi ni Narumon!,4060,1999-04-07,Pierrot,7.05,7029,7878,2452,
19697,Toaru Kagaku no Railgun S: Motto Marutto Railgun,4061,2013-07-24,J.C.Staff,7.05,3753,35098,14503,
1860,Tokyo Majin Gakuen Kenpuchou: Tou,4063,2007-01-19,AIC Spirits,7.05,2144,94783,27719,
51461,Tonari no Youkai-san,4063,2024-04-07,LIDENFILMS,7.05,6145,10893,966,
25157,Trinity Seven,4064,2014-10-08,Seven Arcs Pictures,7.05,212,839368,461262,
1920,Urusei Yatsura Movie 1: Only You,4065,1983-02-13,Pierrot,7.05,5828,12411,5662,
3738,Usavich II,4066,2007-10-08,Kanaban Graphics,7.05,8371,5096,3226,
3691,Watashi to Watashi: Futari no Lotte,4067,1991-11-09,Tokyo Movie Shinsha,7.05,11831,1616,322,
38467,Wu Geng Ji Zhi San Jie,4068,2019-12-20,Sparkly Key Animation Studio,7.05,10195,2766,909,
3614,Yakushiji Ryouko no Kaiki Jikenbo,4069,2008-07-06,Doga Kobo,7.05,4913,19411,6057,
55790,Zhen Hun Jie 3rd Season,4070,2023-07-29,L²Studio,7.05,12460,1309,202,
3098,Shutsugeki! Machine Robo Rescue,4071,2003-01-08,Sunrise,7.04,11014,2136,822,
29163,Sore ga Seiyuu!,4073,2015-07-07,Gonzo,7.04,2980,54277,18857,
2170,Sousei no Aquarion OVA,4073,2007-05-25,Satelight,7.04,6128,10942,4393,
33036,Suki ni Naru Sono Shunkan wo. Kokuhaku Jikkou Iinkai,4074,2016-12-17,Qualia Animation,7.04,1849,116665,47810,
760,Tenjou Tenge: The Past Chapter,4075,2005-03-30,Madhouse,7.04,4596,22517,10090,
34019,Tsugumomo,4076,2017-04-02,Zero-G,7.04,1196,199760,80672,
4896,Umineko no Naku Koro ni,4077,2009-07-02,Studio Deen,7.04,1087,220723,92164,
6567,Urusei Yatsura: The Shougaibutsu Suieitaikai,4078,2008-07-30,Sunrise,7.04,7768,6120,2239,
26165,Yuri Kuma Arashi,4080,2015-01-06,SILVER LINK.,7.04,2044,102052,34485,
367,Akazukin Chacha OVA,4080,1995-12-06,Gallop,7.04,10084,2854,1074,
31588,All Out!!,4081,2016-10-07,Madhouse,7.04,1910,112283,49957,
1205,Aru Tabibito no Nikki,4082,2003-03-19,Madhouse,7.04,4293,26505,11771,
659,Azumanga Daiou: Gekijou Tanpen,4083,2001-12-25,J.C.Staff,7.04,3354,43450,24198,
50581,Binghuo Mochu,4084,2021-12-11,Joicy Studio,7.04,10025,2918,877,
23359,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,4085,2013-12-25,Sunrise,7.04,5074,17878,5718,
1778,Dae Jang Geum: Jang Geum's Dream,4086,2005-10-29,Sunrise,7.04,8638,4694,1609,
9200,Dae Jang Geum: Jang Geum's Dream 2,4087,2007-03-14,Sunrise,7.04,10890,2233,914,
4586,Daisuki! BuBu ChaCha,4088,2001-05-10,Daume,7.04,11423,1865,852,
2355,Devilman: Yochou Sirene-hen,4089,1990-02-25,Oh! Production,7.04,4530,23338,12800,
2674,Doraemon Movie 16: Nobita no Sousei Nikki,4090,1995-03-04,Shin-Ei Animation,7.04,8413,5033,2526,
6361,ef: A Tale of Memories. - Prologue,4092,2007-08-24,Shaft,7.04,3985,31223,12882,
30988,Futsuu no Joshikousei ga [Locodol] Yattemita. OVA,4092,2015-03-23,feel.,7.04,6945,8144,3711,
383,Galaxy Angel,4093,2001-04-08,Madhouse,7.04,4096,29308,11639,
36789,Golden Time (Movie),4094,2013-12-05,Robot Communications,7.04,6510,9521,2150,
36906,Jashin-chan Dropkick,4095,2018-07-10,Nomad,7.04,1767,124025,43571,
41918,Juan Siliang,4096,2021-06-14,Wulifang,7.04,10783,2306,809,
54199,Kaii to Otome to Kamikakushi,4097,2024-04-10,Zero-G,7.06,4086,29578,914,
53040,Kanojo mo Kanojo Season 2,4098,2023-10-07,SynergySP,7.04,2188,91690,36842,
865,Kikou Senki Dragonar,4099,1987-02-07,Sunrise,7.04,7822,6014,1208,
1556,Kikoushi Enma,4100,2006-08-24,Brain's Base,7.04,4745,21012,7140,
40966,Ling Jian Zun 3rd Season,4101,2019-12-24,Suoyi Technology,7.04,10385,2609,1256,
17247,Machine-Doll wa Kizutsukanai,4102,2013-10-07,Lerche,7.04,733,326151,157246,
7066,Mahoromatic: Tadaima Okaeri,4103,2009-10-17,Gainax,7.04,6385,9932,4144,
41556,Maiko-san Chi no Makanai-san,4104,2021-02-25,J.C.Staff,7.04,5014,18439,4374,
8666,Mazinkaiser SKL,4105,2010-11-27,Actas,7.04,5901,12000,5745,
34209,Meiji Tokyo Renka,4106,2019-01-09,TMS Entertainment,7.04,2939,55604,21354,
912,Ninkuu,4107,1995-01-14,Pierrot,7.04,7329,7054,1677,
1792,Overman King Gainer,4108,2002-09-07,Sunrise,7.04,5613,13722,4078,
34302,Precure Dream Stars! Movie,4109,2017-03-18,Toei Animation,7.04,9106,3987,1462,
39292,Princess Connect! Re:Dive,4110,2020-04-07,CygamesPictures,7.04,845,285663,122555,
1601,Red Garden,4111,2006-10-04,Gonzo,7.04,3265,45586,11083,
